Dimension;ADM-Phases;Maturity Level;Description
Architecture Governance;G – Implementation Governance;2 – Managed;Carries out the deployment projects and publishes new Baseline Architectures to the Architecture Repository and update other impacted repositories, such as operational configuration management stores.
Architecture Governance;H – Architecture Change Management;2 – Managed;Manages the governance process and framework for the architecture.
Architecture Governance;H – Architecture Change Management;2 – Managed;Activates the architecture process to implement change.
Architecture Requirements Management;;2 – Managed;Identifies the changed requirements and records the priorities.
Architecture Requirements Management;;2 – Managed;Updates the Requirements Repository with information relating to the changes requested, including stakeholder views affected.
Architecture Requirements Management;;2 – Managed;Identifies and documents requirements using business scenarios, or an analogous technique (e.g. Use Case Modeling, TOGAF Business Scenarios).
Architecture Requirements Management;;2 – Managed;Identifies changed requirements.
Architecture Requirements Management;;2 – Managed;Determines whether to implement change, or defer to later ADM cycle if decision is to implement, assesses timescale for change management implementation.
Architecture Capability;Preliminary;3 – Defined;Defines a framework for architecture governance.
Architecture Capability;Preliminary;3 – Defined;Defines and Establishes an Enterprise Architecture Team and Organization.
Architecture Capability;Preliminary;3 – Defined;Identifies and establishes the Architecture principles, which are the set of principles that relate to architecture work (e.g. reuse before buy before build, technology standardization, security by design).
Architecture Capability;Preliminary;3 – Defined;Determines what tailoring of TOGAF and other selected architecture frameworks is required (e.g. tailoring ADM phases, integration with SAFe portfolio management).
Architecture Capability;A – Architecture Vision;3 – Defined;Conducts the necessary procedures to secure recognition of the architecture project, the endorsement of corporate management, and the support and commitment of the necessary line management.
Architecture Capability;A – Architecture Vision;3 – Defined;Identifies the business goals and business drivers, as well as, the constraints that must be dealt with.
Architecture Capability;A – Architecture Vision;3 – Defined;Defines what is inside the scope of the baseline and target architecture.
Architecture Capability;A – Architecture Vision;3 – Defined;Reviews the principles under which the architecture will be developed.
Architecture Capability;A – Architecture Vision;3 – Defined;Develops an architecture vision that covers the extent of the scope identified for the architecture project, at a high level.
Architecture Capability;A – Architecture Vision;3 – Defined;Defines the value propositions and KPIs for the target architecture to be developed within the project.
Architecture Capability;A – Architecture Vision;3 – Defined;Defines the work products to be produced, as well as, deadlines for each of these work products.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Selects relevant business, data, application and technology architecture resources and viewpoints, as well as, appropriate tools and techniques.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;For each viewpoint, selects the models needed to support the specific view required, using the selected tool or method.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Develops a target description for the business, data, application and technology architecture to be developed, to the extent necessary to support the Architecture vision.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Verifies the business, data, application and technology architecture models for internal consistency and accuracy by identifying gaps between the baseline and target business architecture (e.g. Gap Analysis).
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Defines a business, data, application and technology roadmap to prioritize activities over the following phases (e.g. ArchiMate Plateaus & Gaps, Gantt-based Roadmap).
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Reviews if the proposed business, data, application and technology architecture is capable of supporting the subsequent work by checking the original motivation for the architecture project and the statement of architecture work against the proposed architecture.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Finalizes the business, data, application and technology architecture after conducting a formal stakeholder review by documenting all the final requirements, mappings and work products.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;Documents the architecture definition and also reviews the resulting document with relevant stakeholders and incorporates feedback.
Transition Planning;E – Opportunities & Solutions;3 – Defined;Determines how the enterprise architecture can be best implemented to take advantage of the organization’s business culture. This should include the creation of an Implementation Factor Assessment and Deduction matrix (e.g. SWOT Analysis).
Transition Planning;E – Opportunities & Solutions;3 – Defined;Consolidates and integrates the gap analysis results from the Business, Information Systems, and Technology Architectures (created in Phases B to D) and assess their implications with respect to potential solutions and inter-dependencies.
Transition Planning;E – Opportunities & Solutions;3 – Defined;Assesses the requirements, gaps, solutions, and factors to identify a minimal set of requirements whose integration into work packages would lead to a more efficient and effective implementation of the Target Architecture across the business functions that are participating in the architecture.
Transition Planning;E – Opportunities & Solutions;3 – Defined;Assesses the missing business capabilities identified in the Architecture Vision and Target Architecture and logically group the various activities into work packages.
Transition Planning;E – Opportunities & Solutions;3 – Defined;Identifies one or more Transition Architectures where the scope of change to implement the Target Architecture requires an incremental approach.
Transition Planning;E – Opportunities & Solutions;3 – Defined;Consolidates the work packages and Transition Architectures into the Architecture Roadmap, which describes a timeline of the progression from the Baseline Architecture to the Target Architecture (e.g. Roadmap visualization with Kanban boards, Program Increment Planning in SAFe).
Transition Planning;F – Migration Planning;3 – Defined;Coordinates the Implementation and Migration Plan with the management frameworks within the organization.
Transition Planning;F – Migration Planning;3 – Defined;Prioritizes the projects by ascertaining their business value against the cost of delivering them.
Transition Planning;F – Migration Planning;3 – Defined;Updates the Architecture Roadmap including any Transition Architectures and confirms the architecture definition in case the implementation approach shifted.
Transition Planning;F – Migration Planning;3 – Defined;Generates the completed Implementation and Migration Plan.
Architecture Governance;G – Implementation Governance;3 – Defined;Confirms the Scope and Priorities for Deployment with Development Management.
Architecture Governance;G – Implementation Governance;3 – Defined;Guides the Development of Solutions Deployment.
Architecture Governance;G – Implementation Governance;3 – Defined;Reviews ongoing implementation governance and architecture compliance for each building block conducts post-development reviews and closes the development part of deployment projects.
Architecture Governance;G – Implementation Governance;3 – Defined;Conducts post-implementation reviews and publishes reviews and close projects (e.g. TOGAF Architecture Compliance Review Checklist, Lessons Learned Sessions).
Architecture Governance;H – Architecture Change Management;3 – Defined;Actively influences business projects to achieve measurable outcomes and business value through Enterprise Architecture.
Architecture Governance;H – Architecture Change Management;3 – Defined;Identifies and mitigates EA-related risks and contributes to the development of IT strategy.
Architecture Requirements Management;;3 – Defined;Ensures that all key participants agree on the detailed description of the requirements, and commit to execute them accordingly.
Architecture Requirements Management;;3 – Defined;Monitors the baselined requirements (e.g. Requirements Repository, Jira/Confluence tracking).
Architecture Requirements Management;;3 – Defined;Assesses and revises gap analysis performed during Phases B through D, which identify the gaps between Baseline and Target Architectures.
Architecture Requirements Management;;3 – Defined;Assesses impact of changed requirements on the current (active) phase.
Architecture Requirements Management;;3 – Defined;Assesses impact of changed requirements on the previous phases.
Architecture Requirements Management;;3 – Defined;Issues at every phase of the ADM cycle a requirements impact statement.
Architecture Capability;Preliminary;4 – Quantitatively Managed;Establishes the objectives for quality and process performance and negotiates at an appropriate level of detail to permit an overall evaluation of the objectives and risks at the process level.
Architecture Capability;Preliminary;4 – Quantitatively Managed;Selects measures and analytic techniques to be used in quantitative management.
Architecture Capability;Preliminary;4 – Quantitatively Managed;Analyses selected measures to characterize the performance of the organizations’ processes.
Architecture Capability;Preliminary;4 – Quantitatively Managed;Establishes and compares process performance baselines to the organization’s quality and process performance objectives to determine if the quality and process performance objectives are being achieved.
Architecture Capability;A – Architecture Vision;4 – Quantitatively Managed;Establishes the objectives for quality and process performance and negotiates at an appropriate level of detail to permit an overall evaluation of the objectives and risks at the process level.
Architecture Capability;A – Architecture Vision;4 – Quantitatively Managed;Selects measures and analytic techniques to be used in quantitative management.
Architecture Capability;A – Architecture Vision;4 – Quantitatively Managed;Analyses selected measures to characterize the performance of the organizations’ processes.
Architecture Capability;A – Architecture Vision;4 – Quantitatively Managed;Establishes and compares process performance baselines to the organization’s quality and process performance objectives to determine if the quality and process performance objectives are being achieved.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;4 – Quantitatively Managed;Establishes the objectives for quality and process performance and negotiates at an appropriate level of detail to permit an overall evaluation of the objectives and risks at the process level.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;4 – Quantitatively Managed;Selects measures and analytic techniques to be used in quantitative management.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;4 – Quantitatively Managed;Analyses selected measures to characterize the performance of the organizations’ processes.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;4 – Quantitatively Managed;Establishes and compares process performance baselines to the organization’s quality and process performance objectives to determine if the quality and process performance objectives are being achieved.
Transition Planning;E – Opportunities & Solutions;4 – Quantitatively Managed;Establishes the objectives for quality and process performance and negotiates at an appropriate level of detail to permit an overall evaluation of the objectives and risks at the process level.
Transition Planning;E – Opportunities & Solutions;4 – Quantitatively Managed;Selects measures and analytic techniques to be used in quantitative management.
Transition Planning;E – Opportunities & Solutions;4 – Quantitatively Managed;Analyses selected measures to characterize the performance of the organizations’ processes.
Transition Planning;E – Opportunities & Solutions;4 – Quantitatively Managed;Establishes and compares process performance baselines to the organization’s quality and process performance objectives to determine if the quality and process performance objectives are being achieved.
Transition Planning;F – Migration Planning;4 – Quantitatively Managed;Establishes the objectives for quality and process performance and negotiates at an appropriate level of detail to permit an overall evaluation of the objectives and risks at the process level.
Transition Planning;F – Migration Planning;4 – Quantitatively Managed;Selects measures and analytic techniques to be used in quantitative management.
Transition Planning;F – Migration Planning;4 – Quantitatively Managed;Analyses selected measures to characterize the performance of the organizations’ processes.
Transition Planning;F – Migration Planning;4 – Quantitatively Managed;Establishes and compares process performance baselines to the organization’s quality and process performance objectives to determine if the quality and process performance objectives are being achieved.
Architecture Governance;G – Implementation Governance;4 – Quantitatively Managed;Establishes the objectives for quality and process performance and negotiates at an appropriate level of detail to permit an overall evaluation of the objectives and risks at the process level.
Architecture Governance;G – Implementation Governance;4 – Quantitatively Managed;Selects measures and analytic techniques to be used in quantitative management.
Architecture Governance;G – Implementation Governance;4 – Quantitatively Managed;Analyses selected measures to characterize the performance of the organizations’ processes.
Architecture Governance;G – Implementation Governance;4 – Quantitatively Managed;Establishes and compares process performance baselines to the organization’s quality and process performance objectives to determine if the quality and process performance objectives are being achieved.
Architecture Governance;H – Architecture Change Management;4 – Quantitatively Managed;Ensures that monitoring tools are effectively implemented and utilized
Architecture Governance;H – Architecture Change Management;4 – Quantitatively Managed;Conducts structured analyses to support architecture change management
Architecture Governance;H – Architecture Change Management;4 – Quantitatively Managed;Provides actionable recommendations on change needs to meet performance targets and establish readiness to act
Architecture Requirements Management;;4 – Quantitatively Managed;Ensures that new or changing requirements that are derived from Architecture Change Management (Phase H) are managed accordingly.
Architecture Capability;Preliminary;5 – Optimizing;Identifies potential areas for improvement that could contribute to meeting business objectives.
Architecture Capability;Preliminary;5 – Optimizing;Selects and implements improvements for deployment throughout the organization based on an evaluation of costs, benefits, and other factors.
Architecture Capability;Preliminary;5 – Optimizing;Evaluates the effects of deployed improvements on quality and process performance using statistical and other quantitative techniques.
Architecture Capability;Preliminary;5 – Optimizing;Systematically determines the root causes of selected and analyzed outcomes.
Architecture Capability;Preliminary;5 – Optimizing;Implements and evaluates selected action proposals developed in causal analysis.
Architecture Capability;A – Architecture Vision;5 – Optimizing;Identifies potential areas for improvement that could contribute to meeting business objectives.
Architecture Capability;A – Architecture Vision;5 – Optimizing;Selects and implements improvements for deployment throughout the organization based on an evaluation of costs, benefits, and other factors.
Architecture Capability;A – Architecture Vision;5 – Optimizing;Evaluates the effects of deployed improvements on quality and process performance using statistical and other quantitative techniques.
Architecture Capability;A – Architecture Vision;5 – Optimizing;Systematically determines the root causes of selected and analyzed outcomes.
Architecture Capability;A – Architecture Vision;5 – Optimizing;Implements and evaluates selected action proposals developed in causal analysis.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;5 – Optimizing;Identifies potential areas for improvement that could contribute to meeting business objectives.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;5 – Optimizing;Selects and implements improvements for deployment throughout the organization based on an evaluation of costs, benefits, and other factors.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;5 – Optimizing;Evaluates the effects of deployed improvements on quality and process performance using statistical and other quantitative techniques.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;5 – Optimizing;Systematically determines the root causes of selected and analyzed outcomes.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;5 – Optimizing;Implements and evaluates selected action proposals developed in causal analysis.
Transition Planning;E – Opportunities & Solutions;5 – Optimizing;Identifies potential areas for improvement that could contribute to meeting business objectives.
Transition Planning;E – Opportunities & Solutions;5 – Optimizing;Selects and implements improvements for deployment throughout the organization based on an evaluation of costs, benefits, and other factors.
Transition Planning;E – Opportunities & Solutions;5 – Optimizing;Evaluates the effects of deployed improvements on quality and process performance using statistical and other quantitative techniques.
Transition Planning;E – Opportunities & Solutions;5 – Optimizing;Systematically determines the root causes of selected and analyzed outcomes.
Transition Planning;E – Opportunities & Solutions;5 – Optimizing;Implements and evaluates selected action proposals developed in causal analysis.
Transition Planning;F – Migration Planning;5 – Optimizing;Identifies potential areas for improvement that could contribute to meeting business objectives.
Transition Planning;F – Migration Planning;5 – Optimizing;Selects and implements improvements for deployment throughout the organization based on an evaluation of costs, benefits, and other factors.
Transition Planning;F – Migration Planning;5 – Optimizing;Evaluates the effects of deployed improvements on quality and process performance using statistical and other quantitative techniques.
Transition Planning;F – Migration Planning;5 – Optimizing;Systematically determines the root causes of selected and analyzed outcomes.
Transition Planning;F – Migration Planning;5 – Optimizing;Implements and evaluates selected action proposals developed in causal analysis.
Architecture Governance;G – Implementation Governance;5 – Optimizing;Identifies potential areas for improvement that could contribute to meeting business objectives.
Architecture Governance;G – Implementation Governance;5 – Optimizing;Selects and implements improvements for deployment throughout the organization based on an evaluation of costs, benefits, and other factors.
Architecture Governance;G – Implementation Governance;5 – Optimizing;Evaluates the effects of deployed improvements on quality and process performance using statistical and other quantitative techniques.
Architecture Governance;G – Implementation Governance;5 – Optimizing;Systematically determines the root causes of selected and analyzed outcomes.
Architecture Governance;G – Implementation Governance;5 – Optimizing;Implements and evaluates selected action proposals developed in causal analysis.
