Dimension;ADM-Phases;Maturity Level;Description
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Definiert eine Geschäfts-, Daten-, Anwendungs- und Technologie-Roadmap, um Aktivitäten in den folgenden Phasen zu priorisieren (z. B. ArchiMate Plateaus & Gaps, Gantt-basierte Roadmap).
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Überprüft, ob die vorgeschlagene Geschäfts-, Daten-, Anwendungs- und Technologiearchitektur die nachfolgenden Arbeiten unterstützen kann, indem die ursprüngliche Motivation für das Architekturprojekt und die Erklärung zur Architekturarbeit mit der vorgeschlagenen Architektur abgeglichen werden.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Finalisiert die Geschäfts-, Daten-, Anwendungs- und Technologiearchitektur nach Durchführung einer formellen Stakeholder-Überprüfung, indem alle endgültigen Anforderungen, Zuordnungen und Arbeitsergebnisse dokumentiert werden.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Dokumentiert die Architekturdefinition und überprüft das resultierende Dokument mit den relevanten Stakeholdern und berücksichtigt deren Feedback.
Übergangsplanung; E – Chancen und Lösungen; 3 – Definiert; Legt fest, wie die Unternehmensarchitektur am besten implementiert werden kann, um die Unternehmenskultur der Organisation zu nutzen. Dies sollte die Erstellung einer Matrix zur Bewertung und Ableitung von Implementierungsfaktoren (z. B. SWOT-Analyse) umfassen.
Übergangsplanung; E – Chancen und Lösungen; 3 – Definiert; Konsolidiert und integriert die Ergebnisse der Lückenanalyse aus den Geschäfts-, Informationssystem- und Technologiearchitekturen (erstellt in den Phasen B bis D) und bewertet deren Auswirkungen in Bezug auf mögliche Lösungen und gegenseitige Abhängigkeiten.
Übergangsplanung; E – Chancen und Lösungen; 3 – Definiert; Bewertet die Anforderungen, Lücken, Lösungen und Faktoren, um einen Mindestumfang an Anforderungen zu ermitteln, deren Integration in Arbeitspakete zu einer effizienteren und effektiveren Umsetzung der Zielarchitektur in allen an der Architektur beteiligten Geschäftsfunktionen führen würde.
Übergangsplanung; E – Chancen und Lösungen; 3 – Definiert; Bewertet die in der Architekturvision und der Zielarchitektur identifizierten fehlenden Geschäftsfähigkeiten und gruppiert die verschiedenen Aktivitäten logisch in Arbeitspakete.
Übergangsplanung; E – Chancen und Lösungen; 3 – Definiert; Identifiziert eine oder mehrere Übergangsarchitekturen, bei denen der Umfang der Änderungen zur Implementierung der Zielarchitektur einen schrittweisen Ansatz erfordert.
Übergangsplanung; E – Chancen und Lösungen; 3 – Definiert; Konsolidiert die Arbeitspakete und Übergangsarchitekturen in der Architektur-Roadmap, die einen Zeitplan für den Übergang von der Basisarchitektur zur Zielarchitektur beschreibt (z. B. Visualisierung der Roadmap mit Kanban-Boards, Programminkrementplanung in SAFe).
Übergangsplanung; F – Migrationsplanung; 3 – Definiert; Koordiniert den Implementierungs- und Migrationsplan mit den Management-Frameworks innerhalb der Organisation.
Übergangsplanung; F – Migrationsplanung; 3 – Definiert; Priorisiert die Projekte, indem ihr geschäftlicher Wert im Verhältnis zu den Kosten für ihre Umsetzung ermittelt wird.
Übergangsplanung; F – Migrationsplanung; 3 – Definiert; Aktualisiert die Architektur-Roadmap einschließlich aller Übergangsarchitekturen und bestätigt die Architekturdefinition für den Fall, dass sich der Implementierungsansatz geändert hat.
Übergangsplanung; F – Migrationsplanung; 3 – Definiert; Erstellt den fertigen Implementierungs- und Migrationsplan.
Architektur-Governance; G – Implementierungs-Governance; 3 – Definiert; Bestätigt den Umfang und die Prioritäten für die Bereitstellung mit dem Entwicklungsmanagement.
Architektur-Governance; G – Implementierungs-Governance; 3 – Definiert; Leitet die Entwicklung der Lösungsbereitstellung.
Architektur-Governance; G – Implementierungs-Governance; 3 – Definiert; Überprüft die laufende Implementierungs-Governance und Architekturkonformität für jeden Baustein, führt Überprüfungen nach der Entwicklung durch und schließt den Entwicklungsteil von Bereitstellungsprojekten ab.
Architektur-Governance; G – Implementierungs-Governance; 3 – Definiert; Führt Überprüfungen nach der Implementierung durch, veröffentlicht Überprüfungen und schließt Projekte ab (z. B. TOGAF-Checkliste zur Überprüfung der Architekturkonformität, Lessons Learned-Sitzungen).
Architektur-Governance; H – Architektur-Änderungsmanagement; 3 – Definiert; Beeinflusst aktiv Geschäftsprojekte, um messbare Ergebnisse und Geschäftswert durch Unternehmensarchitektur zu erzielen.
Architektur-Governance; H – Architektur-Änderungsmanagement; 3 – Definiert; Identifiziert und mindert EA-bezogene Risiken und trägt zur Entwicklung der IT-Strategie bei.
Architektur-Anforderungsmanagement;;3 – Definiert;Stellt sicher, dass sich alle wichtigen Beteiligten über die detaillierte Beschreibung der Anforderungen einig sind und sich zu deren Umsetzung verpflichten.
Architektur-Anforderungsmanagement;;3 – Definiert;Überwacht die festgelegten Anforderungen (z. B. Anforderungsrepository, Jira/Confluence-Tracking).
Architektur-Anforderungsmanagement;;3 – Definiert; Bewertet und überarbeitet die in den Phasen B bis D durchgeführte Lückenanalyse, die die Lücken zwischen Basis- und Zielarchitekturen identifiziert.
Architektur-Anforderungsmanagement;;3 – Definiert; Bewertet die Auswirkungen geänderter Anforderungen auf die aktuelle (aktive) Phase.
Architektur-Anforderungsmanagement;;3 – Definiert; Bewertet die Auswirkungen geänderter Anforderungen auf die vorherigen Phasen.
Architektur-Anforderungsmanagement;;3 – Definiert; Gibt in jeder Phase des ADM-Zyklus eine Erklärung zu den Auswirkungen der Anforderungen ab.
Architekturkompetenz; vorläufig; 4 – quantitativ verwaltet; legt die Ziele für Qualität und Prozessleistung fest und verhandelt auf einer angemessenen Detailebene, um eine Gesamtbewertung der Ziele und Risiken auf Prozessebene zu ermöglichen.
Architekturkompetenz; vorläufig; 4 – quantitativ verwaltet; wählt Maßnahmen und Analysetechniken aus, die im quantitativen Management verwendet werden sollen.
Architekturfähigkeit; vorläufig; 4 – quantitativ verwaltet; analysiert ausgewählte Maßnahmen, um die Leistung der Prozesse der Organisation zu charakterisieren.
Architekturfähigkeit; vorläufig; 4 – quantitativ verwaltet; legt Basiswerte für die Prozessleistung fest und vergleicht diese mit den Qualitäts- und Prozessleistungszielen der Organisation, um festzustellen, ob die Qualitäts- und Prozessleistungsziele erreicht werden.
Architekturkompetenz; A – Architekturvision; 4 – Quantitativ gesteuert; Legt die Ziele für Qualität und Prozessleistung fest und verhandelt auf einer angemessenen Detailebene, um eine Gesamtbewertung der Ziele und Risiken auf Prozessebene zu ermöglichen.
Architekturkompetenz; A – Architekturvision; 4 – Quantitativ gesteuert; Wählt Maßnahmen und Analysetechniken aus, die im quantitativen Management eingesetzt werden sollen.
Architekturkompetenz; A – Architekturvision; 4 – quantitativ verwaltet; Analysiert ausgewählte Maßnahmen, um die Leistung der Prozesse der Organisation zu charakterisieren.
Architekturkompetenz; A – Architekturvision; 4 – quantitativ verwaltet; Legt Basiswerte für die Prozessleistung fest und vergleicht diese mit den Qualitäts- und Prozessleistungszielen der Organisation, um festzustellen, ob die Qualitäts- und Prozessleistungsziele erreicht werden.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 4 – Quantitativ verwaltet; Legt die Ziele für Qualität und Prozessleistung fest und verhandelt auf einer angemessenen Detailebene, um eine Gesamtbewertung der Ziele und Risiken auf Prozessebene zu ermöglichen.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 4 – Quantitativ verwaltet; Wählt Maßnahmen und Analysetechniken aus, die im quantitativen Management verwendet werden sollen.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 4 – Quantitativ verwaltet; Analysiert ausgewählte Maßnahmen, um die Leistung der Prozesse der Organisation zu charakterisieren.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 4 – Quantitativ verwaltet; Legt Basiswerte für die Prozessleistung fest und vergleicht diese mit den Qualitäts- und Prozessleistungszielen der Organisation, um festzustellen, ob die Qualitäts- und Prozessleistungsziele erreicht werden.
Übergangsplanung; E – Chancen und Lösungen; 4 – quantitativ gesteuert; Legt die Ziele für Qualität und Prozessleistung fest und verhandelt auf einer angemessenen Detailebene, um eine Gesamtbewertung der Ziele und Risiken auf Prozessebene zu ermöglichen.
Übergangsplanung; E – Chancen und Lösungen; 4 – Quantitativ gesteuert; Wählt Maßnahmen und Analysetechniken aus, die im quantitativen Management verwendet werden sollen.
Übergangsplanung; E – Chancen und Lösungen; 4 – Quantitativ gesteuert; Analysiert ausgewählte Maßnahmen, um die Leistung der Prozesse der Organisation zu charakterisieren.
Übergangsplanung; E – Chancen und Lösungen; 4 – Quantitativ gesteuert; Legt Basiswerte für die Prozessleistung fest und vergleicht diese mit den Qualitäts- und Prozessleistungszielen der Organisation, um festzustellen, ob die Qualitäts- und Prozessleistungsziele erreicht werden.
Übergangsplanung; F – Migrationsplanung; 4 – quantitativ gesteuert; Legt die Ziele für Qualität und Prozessleistung fest und verhandelt diese in angemessener Detailtiefe, um eine Gesamtbewertung der Ziele und Risiken auf Prozessebene zu ermöglichen.
Übergangsplanung; F – Migrationsplanung; 4 – quantitativ gesteuert; Wählt Maßnahmen und Analysetechniken aus, die im quantitativen Management eingesetzt werden sollen.
Übergangsplanung; F – Migrationsplanung; 4 – Quantitativ gesteuert; Analysiert ausgewählte Maßnahmen, um die Leistung der Prozesse der Organisation zu charakterisieren.
Übergangsplanung; F – Migrationsplanung; 4 – Quantitativ gesteuert; Legt Prozessleistungs-Baselines fest und vergleicht diese mit den Qualitäts- und Prozessleistungszielen der Organisation, um festzustellen, ob die Qualitäts- und Prozessleistungsziele erreicht werden.
Architektur-Governance; G – Implementierungs-Governance; 4 – Quantitativ verwaltet; Legt die Ziele für Qualität und Prozessleistung fest und verhandelt auf einer angemessenen Detailebene, um eine Gesamtbewertung der Ziele und Risiken auf Prozessebene zu ermöglichen.
Architektur-Governance; G – Implementierungs-Governance; 4 – Quantitativ verwaltet; Wählt Maßnahmen und Analysetechniken aus, die im quantitativen Management verwendet werden sollen.
Architektur-Governance; G – Implementierungs-Governance; 4 – Quantitativ verwaltet; Analysiert ausgewählte Maßnahmen, um die Leistung der Prozesse der Organisation zu charakterisieren.
Architektur-Governance; G – Implementierungs-Governance; 4 – Quantitativ verwaltet; Legt Basiswerte für die Prozessleistung fest und vergleicht diese mit den Qualitäts- und Prozessleistungszielen der Organisation, um festzustellen, ob die Qualitäts- und Prozessleistungsziele erreicht werden.
Architektur-Governance; H – Architektur-Änderungsmanagement; 4 – Quantitativ verwaltet; Stellt sicher, dass Überwachungsinstrumente effektiv implementiert und genutzt werden.
Architektur-Governance; H – Architektur-Änderungsmanagement; 4 – Quantitativ verwaltet; Führt strukturierte Analysen durch, um das Architektur-Änderungsmanagement zu unterstützen.
Architektur-Governance; H – Architektur-Änderungsmanagement; 4 – Quantitativ verwaltet; Gibt umsetzbare Empfehlungen zu Änderungsbedarf, um Leistungsziele zu erreichen und Handlungsbereitschaft herzustellen.
Architektur-Anforderungsmanagement; 4 – Quantitativ verwaltet; Stellt sicher, dass neue oder sich ändernde Anforderungen, die sich aus dem Architekturänderungsmanagement (Phase H) ergeben, entsprechend verwaltet werden.
Architekturfähigkeit; Vorläufig; 5 – Optimierung; Identifiziert potenzielle Verbesserungsbereiche, die zur Erreichung der Geschäftsziele beitragen könnten.
Architekturfähigkeit; vorläufig; 5 – Optimierung; Wählt und implementiert Verbesserungen für den Einsatz im gesamten Unternehmen auf der Grundlage einer Bewertung von Kosten, Nutzen und anderen Faktoren.
Architekturfähigkeit; vorläufig; 5 – Optimierung; Bewertet die Auswirkungen der eingesetzten Verbesserungen auf Qualität und Prozessleistung unter Verwendung statistischer und anderer quantitativer Verfahren.
Architekturkompetenz; vorläufig; 5 – Optimierung; Systematische Ermittlung der Ursachen ausgewählter und analysierter Ergebnisse.
Architekturkompetenz; vorläufig; 5 – Optimierung; Implementierung und Bewertung ausgewählter Maßnahmenvorschläge, die im Rahmen der Ursachenanalyse entwickelt wurden.
Architekturkompetenz; A – Architekturvision; 5 – Optimierung; Identifiziert potenzielle Verbesserungsbereiche, die zur Erreichung der Geschäftsziele beitragen könnten.
Architekturkompetenz; A – Architekturvision; 5 – Optimierung; Wählt Verbesserungen für die Bereitstellung im gesamten Unternehmen auf der Grundlage einer Bewertung von Kosten, Nutzen und anderen Faktoren aus und setzt diese um.
Architekturkompetenz; A – Architekturvision; 5 – Optimierung; Bewertet die Auswirkungen der umgesetzten Verbesserungen auf Qualität und Prozessleistung mithilfe statistischer und anderer quantitativer Verfahren.
Architekturkompetenz; A – Architekturvision; 5 – Optimierung; Ermittelt systematisch die Ursachen ausgewählter und analysierter Ergebnisse.
Architekturkompetenz; A – Architekturvision; 5 – Optimierung; Implementiert und bewertet ausgewählte Maßnahmenvorschläge, die in der Ursachenanalyse entwickelt wurden.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 5 – Optimierung; Identifiziert potenzielle Verbesserungsbereiche, die zur Erreichung der Geschäftsziele beitragen könnten.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 5 – Optimierung; Wählt und implementiert Verbesserungen für den Einsatz im gesamten Unternehmen auf der Grundlage einer Bewertung von Kosten, Nutzen und anderen Faktoren.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 5 – Optimierung; Bewertung der Auswirkungen der implementierten Verbesserungen auf die Qualität und Prozessleistung unter Verwendung statistischer und anderer quantitativer Verfahren.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 5 – Optimierung; Systematische Ermittlung der Ursachen ausgewählter und analysierter Ergebnisse.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 5 – Optimierung; Implementiert und bewertet ausgewählte Maßnahmenvorschläge, die in der Ursachenanalyse entwickelt wurden.
Übergangsplanung; E – Chancen und Lösungen; 5 – Optimierung; Identifiziert potenzielle Verbesserungsbereiche, die zur Erreichung der Geschäftsziele beitragen könnten.
Übergangsplanung; E – Chancen und Lösungen; 5 – Optimierung; Auswahl und Umsetzung von Verbesserungen für den Einsatz im gesamten Unternehmen auf der Grundlage einer Bewertung von Kosten, Nutzen und anderen Faktoren.
Übergangsplanung; E – Chancen und Lösungen; 5 – Optimierung; Bewertung der Auswirkungen der umgesetzten Verbesserungen auf die Qualität und die Prozessleistung unter Verwendung statistischer und anderer quantitativer Verfahren.
Übergangsplanung; E – Chancen und Lösungen; 5 – Optimierung; Systematische Ermittlung der Ursachen ausgewählter und analysierter Ergebnisse.
Übergangsplanung; E – Chancen und Lösungen; 5 – Optimierung; Umsetzung und Bewertung ausgewählter Maßnahmenvorschläge, die im Rahmen der Ursachenanalyse entwickelt wurden.
Übergangsplanung; F – Migrationsplanung; 5 – Optimierung; Identifiziert potenzielle Verbesserungsbereiche, die zur Erreichung der Geschäftsziele beitragen könnten.
Übergangsplanung; F – Migrationsplanung; 5 – Optimierung; Wählt und implementiert Verbesserungen für den Einsatz im gesamten Unternehmen auf der Grundlage einer Bewertung von Kosten, Nutzen und anderen Faktoren.
Übergangsplanung; F – Migrationsplanung; 5 – Optimierung; Bewertet die Auswirkungen der implementierten Verbesserungen auf die Qualität und die Prozessleistung unter Verwendung statistischer und anderer quantitativer Verfahren.
Übergangsplanung; F – Migrationsplanung; 5 – Optimierung; Ermittelt systematisch die Ursachen ausgewählter und analysierter Ergebnisse.
Übergangsplanung; F – Migrationsplanung; 5 – Optimierung; Implementiert und bewertet ausgewählte Maßnahmenvorschläge, die in der Ursachenanalyse entwickelt wurden.
